[2025-12-27 23:30:23.133] [INFO] [RobustDebugger] Log file initialized
[2025-12-27 23:30:23.182] [INFO] [RobustDebugger] Debugger initialized successfully
[2025-12-27 23:30:23.184] [INFO] [RobustDebugger] Log file: C:\Users\anoni\OneDrive\Escritorio\7\7Days2Die-ESP-Aimbot--Internal-\logs\esp_debug.log
[2025-12-27 23:30:23.185] [INFO] [RobustDebugger] Error log: C:\Users\anoni\OneDrive\Escritorio\7\7Days2Die-ESP-Aimbot--Internal-\logs\esp_errors.log
[2025-12-27 23:30:23.186] [INFO] [RobustDebugger] Performance log: C:\Users\anoni\OneDrive\Escritorio\7\7Days2Die-ESP-Aimbot--Internal-\logs\esp_performance.log
[2025-12-27 23:30:23.187] [INFO] [ESPManager] Starting basic ESP with debugger...
[2025-12-27 23:30:23.213] [INFO] [GameState] Game State: GameManager exists, GameStarted=True
[2025-12-27 23:30:23.644] [INFO] [Diagnostics] Diagnostic report created: C:\Users\anoni\OneDrive\Escritorio\7\7Days2Die-ESP-Aimbot--Internal-\logs\diagnostic_20251227_233023.txt
[2025-12-27 23:30:25.505] [DEBUG] [CameraLogger] Camera Found: Camera active=True, pos=(15.2, 3.8, -0.4), fov=58.0
[2025-12-27 23:30:25.507] [INFO] [ESPManager] Camera found and initialized
[2025-12-27 23:30:26.014] [DEBUG] [EntityCache] Cached 5 enemies, 1 players, 0 animals, 0 items
[2025-12-27 23:30:26.355] [DEBUG] [EntityRender] Rendering 5 enemies, 1 players, 0 animals, 0 items
[2025-12-27 23:30:26.364] [ESP] [ESPRenderer] ESP: Enemy at (17.2, 2.2, -24.3) (24.0m) Screen=(600,472)
[2025-12-27 23:30:26.366] [ESP] [ESPRenderer] ESP: Enemy at (16.3, 2.0, -24.2) (23.9m) Screen=(633,479)
[2025-12-27 23:30:26.367] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -19.8) (19.5m) Screen=(699,492)
[2025-12-27 23:30:26.369] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -17.6) (17.3m) Screen=(703,502)
[2025-12-27 23:30:26.372] [DEBUG] [EntityRender] Rendering 5 enemies, 1 players, 0 animals, 0 items
[2025-12-27 23:30:26.393] [ESP] [ESPRenderer] ESP: Enemy at (17.2, 2.2, -24.3) (24.0m) Screen=(600,472)
[2025-12-27 23:30:26.395] [ESP] [ESPRenderer] ESP: Enemy at (16.3, 2.0, -24.2) (23.9m) Screen=(633,479)
[2025-12-27 23:30:26.396] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -19.8) (19.5m) Screen=(699,492)
[2025-12-27 23:30:26.398] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -17.6) (17.3m) Screen=(703,502)
[2025-12-27 23:30:26.618] [DEBUG] [EntityRender] Rendering 5 enemies, 1 players, 0 animals, 0 items
[2025-12-27 23:30:26.619] [ESP] [ESPRenderer] ESP: Enemy at (17.2, 2.2, -24.3) (24.0m) Screen=(600,472)
[2025-12-27 23:30:26.621] [ESP] [ESPRenderer] ESP: Enemy at (16.3, 2.0, -24.2) (23.9m) Screen=(633,479)
[2025-12-27 23:30:26.626] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -19.8) (19.5m) Screen=(699,492)
[2025-12-27 23:30:26.627] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -17.6) (17.3m) Screen=(703,502)
[2025-12-27 23:30:26.630] [DEBUG] [EntityRender] Rendering 5 enemies, 1 players, 0 animals, 0 items
[2025-12-27 23:30:26.631] [ESP] [ESPRenderer] ESP: Enemy at (17.2, 2.2, -24.3) (24.0m) Screen=(600,472)
[2025-12-27 23:30:26.633] [ESP] [ESPRenderer] ESP: Enemy at (16.3, 2.0, -24.2) (23.9m) Screen=(633,479)
[2025-12-27 23:30:26.635] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -19.8) (19.5m) Screen=(699,492)
[2025-12-27 23:30:26.636] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -17.6) (17.3m) Screen=(703,502)
[2025-12-27 23:30:26.800] [DEBUG] [EntityRender] Rendering 5 enemies, 1 players, 0 animals, 0 items
[2025-12-27 23:30:26.802] [ESP] [ESPRenderer] ESP: Enemy at (17.2, 2.2, -24.3) (24.0m) Screen=(600,472)
[2025-12-27 23:30:26.803] [ESP] [ESPRenderer] ESP: Enemy at (16.3, 2.0, -24.2) (23.9m) Screen=(633,479)
[2025-12-27 23:30:26.805] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -19.8) (19.5m) Screen=(699,492)
[2025-12-27 23:30:26.806] [ESP] [ESPRenderer] ESP: Enemy at (14.5, 2.0, -17.6) (17.3m) Screen=(703,502)
[2025-12-27 23:30:26.811] [DEBUG] [EntityRender] Rendering 5 enemies, 1 players, 0 animals, 0 items
